mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,striker,non-striker,total
1,2008-04-09,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,MS Dhoni,Harbhajan Singh,9,0,1.4,0,1,137
1,2008-04-28,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,KA Pollard,B Kumar,21,3,3.7,1,0,137
1,2008-05-04,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,SS Iyer,A Zampa,27,1,4.5,1,0,137
1,2008-05-10,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,JM Bairstow,Rashid Khan,28,1,4.5,1,0,137
1,2008-05-13,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,FA du Plessis,IS Sodhi,36,2,4.8,1,0,137
1,2008-04-13,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Faf du Plessis,Mohammed Shami,32,1,5.0,0,1,137
1,2008-05-03,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,NJ Maddinson,A Nehra,39,2,6.5,0,1,137
1,2008-05-24,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,V Kohli,M Morkel,48,5,6.6,0,1,137
1,2008-04-14,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,MS Dhoni,SL Malinga,48,1,6.8,0,1,137
1,2008-04-15,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,SS Iyer,DJ Bravo,60,1,8.0,0,1,137
1,2008-05-04,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,SR Watson,A Zampa,55,1,9.2,1,0,137
1,2008-04-19,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,S Dhawan,R Ashwin,74,1,9.7,0,1,137
1,2008-04-28,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,D Padikkal,A Nehra,67,5,11.0,1,0,137
1,2008-05-08,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,JP Duminy,PP Chawla,82,3,12.6,0,1,137
